,partido,candidato,nick,followers,fecha,post,post_clean,sentimiento,sentimiento_num,negative,neutral,positive,video,foto,repost,retweet,viewed,comments,comments vs viewed,shared,shared vs viewed,likes,likes vs viewed,votos,porcentaje,escaños
0,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Comenzamos la campaña, una vez más, junto a la agricultura y el campo madrileño.

Con nuevas propuestas para los agricultores, rejuvenecer el sector y menos trabas. Contra los incendios, por el patrimonio natural y un aire limpio.

Ganas de un Madrid natural.","comenzamos la campaa una vez ms junto a la agricultura y el campo madrileo

con nuevas propuestas para los agricultores rejuvenecer el sector y menos trabas contra los incendios por el patrimonio natural y un aire limpio

ganas de un madrid natural",Positive,1,0.034474906,0.037882246,0.9276428,True,False,False,False,58700,198,0.003373083475298126,261,0.00444633730834753,1260,0.021465076660988076,1586985,0.4734,71
1,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Madrid es la región del Espíritu de Ermua, la que no admite totalitarios, ni trata como forasteros ni traga con presentar etarras en listas.",madrid es la regin del espritu de ermua la que no admite totalitarios ni trata como forasteros ni traga con presentar etarras en listas,Negative,-1,0.9043594,0.060345188,0.03529539,False,False,False,False,101600,550,0.0054133858267716535,561,0.0055216535433070865,2127,0.02093503937007874,1586985,0.4734,70
2,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Majadahonda con ganas de Libertad, familia, unidad, alegría, calidad de vida. Con 
@Lola_Moreno__
 , su futura gran alcaldesa.","majadahonda con ganas de libertad familia unidad alegra calidad de vida con 

  su futura gran alcaldesa",Positive,1,0.014553721,0.021516757,0.9639295,False,True,False,False,59700,140,0.0023450586264656616,213,0.0035678391959798996,1042,0.01745393634840871,1586985,0.4734,70
3,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,❤️❤️,,Positive,1,0.005583746,0.010401884,0.98401433,False,True,True,False,159100,155,0.0009742300439974859,343,0.0021558768070395976,2958,0.018592080452545567,1586985,0.4734,70
4,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,Presidente: líbranos del mal.,presidente lbranos del mal,Negative,-1,0.680318,0.1289414,0.19074059,False,True,False,False,330800,893,0.002699516324062878,549,0.0016596130592503023,2592,0.007835550181378477,1586985,0.4734,70
5,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,"En Madrid sólo habrá 2 tarifas de transporte público: la A, para Madrid capital, y la B, para el resto de la región. Con esta medida, millones de ciudadanos se ahorrarán hasta 180 euros al año.
Seguimos ampliando el Metro, para llegar a los 340 kilómetros. Ya es accesible el 84%.","en madrid slo habr 2 tarifas de transporte pblico la a para madrid capital y la b para el resto de la regin con esta medida millones de ciudadanos se ahorrarn hasta 180 euros al ao
seguimos ampliando el metro para llegar a los 340 kilmetros ya es accesible el 84",Negative,-1,0.6281125,0.14738066,0.22450683,False,True,False,False,213100,308,0.0014453308305959643,759,0.0035617081182543406,3016,0.014152979821679963,1586985,0.4734,70
6,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,"Con el candidato a alcalde de #Getafe, 
@AJMesaGarrido
, gran hombre y político para el que pido la confianza de sus vecinos.

Gracias a tantos por acompañarnos.","con el candidato a alcalde de getafe 

 gran hombre y poltico para el que pido la confianza de sus vecinos

gracias a tantos por acompaarnos",Positive,1,0.01943707,0.020881647,0.95968133,False,True,False,False,51000,77,0.0015098039215686275,195,0.003823529411764706,835,0.016372549019607843,1586985,0.4734,70
7,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-14,"Por la vida y las familias:

Reducciones en el transporte, comedor, libros, nuevos vehículos, extraescolares, salud bucodental y gafas.

Sucesiones y donaciones entre hermanos, tíos y sobrinos al 50%.

Cole en las vacaciones y puentes.

Ayuda extra a la madre estudiante y autónoma.","por la vida y las familias

reducciones en el transporte comedor libros nuevos vehculos extraescolares salud bucodental y gafas

sucesiones y donaciones entre hermanos tos y sobrinos al 50

cole en las vacaciones y puentes

ayuda extra a la madre estudiante y autnoma",Positive,1,0.03488004,0.050857607,0.9142624,False,True,False,False,408600,803,0.0019652471855115027,655,0.0016030347528144884,2839,0.006948115516397455,1586985,0.4734,70
8,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-14,"Con nuestra candidata a la alcaldía de Pozuelo de Alarcón, 
@PalomaTejero_
, una mujer con enorme capacidad de trabajo, dispuesta a dar todo por su municipio.","con nuestra candidata a la alcalda de pozuelo de alarcn 

 una mujer con enorme capacidad de trabajo dispuesta a dar todo por su municipio",Positive,1,0.056712598,0.04942992,0.89385754,False,True,False,False,53800,149,0.0027695167286245354,167,0.003104089219330855,1016,0.01888475836431227,1586985,0.4734,70
9,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-15,"Feliz Día de San Isidro Labrador, patrón de los agricultores y de decenas de municipios de Madrid. 

Este año lo celebramos con la propuesta de dar el nombre de su esposa al premio “Mujer rural Santa María de la Cabeza” en homenaje a las mujeres del campo.","feliz da de san isidro labrador patrn de los agricultores y de decenas de municipios de madrid 

este ao lo celebramos con la propuesta de dar el nombre de su esposa al premio mujer rural santa mara de la cabeza en homenaje a las mujeres del campo",Positive,1,0.0092817545,0.032181997,0.95853627,False,True,False,False,100000,186,0.00186,428,0.00428,2184,0.02184,1586985,0.4734,70
10,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-16,"No van a renunciar porque van igualmente en la lista. Y claro que tomarán posesión. ¿Qué palabra tiene un asesino?

La misma que los otros 37 cooperadores necesarios de los asesinatos, secuestros y extorsiones. Son igualmente culpables y así los condena la ley.https://elmundo.es/pais-vasco/2023/05/16/64632c5ce4d4d85f4f8b45a0.html","no van a renunciar porque van igualmente en la lista y claro que tomarn posesin qu palabra tiene un asesino

la misma que los otros 37 cooperadores necesarios de los asesinatos secuestros y extorsiones son igualmente culpables y as los condena la ley",Negative,-1,0.9456268,0.037264325,0.017108824,False,False,False,False,834200,1950,0.0023375689283145528,2568,0.0030783984655957802,8452,0.010131862862622873,1586985,0.4734,70
11,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-16,"
A partir de las 21:45h, no te pierdas a la presidenta 
@IdiazAyuso
 en el debate de 
@telemadrid
. 

#DebateTM #YoConAyuso 

📲 Síguelo en directo: http://bit.ly/39NgN3r","
a partir de las 2145h no te pierdas a la presidenta 

 en el debate de 

 

debatetm yoconayuso 

 sguelo en directo ",Neutral,0,0.031617526,0.8601304,0.108252026,False,True,False,True,737000,394,0.0005345997286295794,309,0.00041926729986431477,922,0.0012510176390773406,1586985,0.4734,70
12,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-17,"El campeón del mundo de judo es mostoleño. 
@FranGarrigos1
, junto a la escuela Dojo Quino, de Brunete, ha traído 🥇 para todos los españoles. 

Enhorabuena por tu éxito y gracias por tu ejemplo para tantos niños, jóvenes y futuros deportistas.","el campen del mundo de judo es mostoleo 

 junto a la escuela dojo quino de brunete ha trado  para todos los espaoles 

enhorabuena por tu xito y gracias por tu ejemplo para tantos nios jvenes y futuros deportistas",Positive,1,0.023202932,0.018000089,0.958797,False,True,False,False,53000,89,0.0016792452830188679,222,0.0041886792452830186,1164,0.021962264150943395,1586985,0.4734,70
13,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-17,"Consejo de Gobierno:

-125 millones programa de préstamo gratuito de libros de texto.

-2.275 plazas en el nuevo colegio público de El Cañaveral y ampliaciones en Parla, Madrid y Leganés.

-75 millones más para plazas para mayores de 18 años con síndrome espectro autista.","consejo de gobierno

125 millones programa de prstamo gratuito de libros de texto

2275 plazas en el nuevo colegio pblico de el caaveral y ampliaciones en parla madrid y legans

75 millones ms para plazas para mayores de 18 aos con sndrome espectro autista",Positive,1,0.2234902,0.28510097,0.49140882,False,False,False,False,138000,417,0.0030217391304347826,329,0.002384057971014493,1107,0.008021739130434783,1586985,0.4734,70
14,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-17,"La Sanidad de Madrid, a la cabeza de Europa en pruebas diagnósticas.",la sanidad de madrid a la cabeza de europa en pruebas diagnsticas,Negative,-1,0.47309604,0.22856201,0.29834193,False,True,True,False,237800,807,0.003393608074011775,958,0.0040285954583683765,3748,0.015761143818334735,1586985,0.4734,70
15,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-18,"La Comunidad de Madrid registra un fuerte crecimiento de su economía en el primer trimestre del año: 1,3% con respecto al anterior. 

Recuperó en 2022 toda la riqueza perdida durante la pandemia.

Libertad, estabilidad y seguridad jurídica. 

Con 🫰🏼GANAS","la comunidad de madrid registra un fuerte crecimiento de su economa en el primer trimestre del ao 13 con respecto al anterior 

recuper en 2022 toda la riqueza perdida durante la pandemia

libertad estabilidad y seguridad jurdica 

con ganas",Positive,1,0.067128554,0.058714703,0.8741567,False,False,False,False,209700,856,0.004082021936099189,686,0.0032713400095374344,2800,0.01335240820219361,1586985,0.4734,70
16,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-19,"Con los vecinos de Parla y muchas ganas de un nuevo ayuntamiento que solucione los problemas de ocupación, empleo y limpieza.

El sur de Madrid necesita un cambio.

Lo conseguiremos con más 🫰🏼GANAS que nunca.","con los vecinos de parla y muchas ganas de un nuevo ayuntamiento que solucione los problemas de ocupacin empleo y limpieza

el sur de madrid necesita un cambio

lo conseguiremos con ms ganas que nunca",Positive,1,0.052539047,0.0459923,0.90146863,False,True,False,False,122700,490,0.003993480032599837,425,0.0034637326813365932,1878,0.015305623471882641,1586985,0.4734,70
17,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-19,"🔴 Activamos bombardero de #BomberosCM para ayudar en la extinción del #IFPinofranqueado.

Todo nuestro apoyo a los cacereños."," activamos bombardero de bomberoscm para ayudar en la extincin del ifpinofranqueado

todo nuestro apoyo a los cacereos",Positive,1,0.06149262,0.1334221,0.80508524,False,False,False,False,191000,211,0.0011047120418848167,362,0.0018952879581151832,2082,0.010900523560209424,1586985,0.4734,70
18,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-21,El cambio es imparable.,el cambio es imparable,Positive,1,0.0673859,0.0530027,0.87961143,False,True,False,True,233700,857,0.0036670945656824988,815,0.0034873769790329484,2246,0.00961061189559264,1586985,0.4734,70
19,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-22,"Ayuso anuncia en #EntrevistasABC un plan de Educación «libre, plural y de calidad» que priorice los contenidos sobre la ideología.",ayuso anuncia en entrevistasabc un plan de educacin libre plural y de calidad que priorice los contenidos sobre la ideologa,Positive,1,0.111199476,0.340799,0.5480015,False,True,False,True,39400,54,0.0013705583756345179,123,0.0031218274111675126,377,0.009568527918781726,1586985,0.4734,70
20,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-22,Ganas de Madrid con ganas.,ganas de madrid con ganas,Positive,1,0.080278195,0.046978217,0.8727436,False,True,False,False,97400,324,0.0033264887063655033,341,0.0035010266940451746,1770,0.018172484599589322,1586985,0.4734,70
