,partido,candidato,nick,followers,fecha,post,post_clean,sentimiento,sentimiento_num,negative,neutral,positive,video,foto,repost,retweet,viewed,comments,comments vs viewed,shared,shared vs viewed,likes,likes vs viewed,votos,porcentaje,escaños,Num_words_POST,sentimiento_clean
0,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Comenzamos la campaña, una vez más, junto a la agricultura y el campo madrileño.

Con nuevas propuestas para los agricultores, rejuvenecer el sector y menos trabas. Contra los incendios, por el patrimonio natural y un aire limpio.

Ganas de un Madrid natural.","comenzamos la campaa una vez ms junto a la agricultura y el campo madrileo

con nuevas propuestas para los agricultores rejuvenecer el sector y menos trabas contra los incendios por el patrimonio natural y un aire limpio

ganas de un madrid natural",Positive,1,0.034474906,0.037882246,0.9276428,True,False,False,False,58700,198,0.0033730834752981,261,0.0044463373083475,1260,0.021465076660988,1586985,0.4734,71,42,comenzamos campaa vez ms junto agricultura campo madrileo nuevas propuestas agricultores rejuvenecer sector menos trabas incendios patrimonio natural aire limpio ganas madrid natural
1,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Madrid es la región del Espíritu de Ermua, la que no admite totalitarios, ni trata como forasteros ni traga con presentar etarras en listas.",madrid es la regin del espritu de ermua la que no admite totalitarios ni trata como forasteros ni traga con presentar etarras en listas,Negative,-1,0.9043594,0.060345188,0.03529539,False,False,False,False,101600,550,0.0054133858267716,561,0.005521653543307,2127,0.0209350393700787,1586985,0.4734,70,24,madrid regin espritu ermua admite totalitarios trata forasteros traga presentar etarras listas
2,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Majadahonda con ganas de Libertad, familia, unidad, alegría, calidad de vida. Con 
@Lola_Moreno__
 , su futura gran alcaldesa.","majadahonda con ganas de libertad familia unidad alegra calidad de vida con 

  su futura gran alcaldesa",Positive,1,0.014553721,0.021516757,0.9639295,False,True,False,False,59700,140,0.0023450586264656,213,0.0035678391959798,1042,0.0174539363484087,1586985,0.4734,70,18,majadahonda ganas libertad familia unidad alegra calidad vida futura gran alcaldesa
4,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,Presidente: líbranos del mal.,presidente lbranos del mal,Negative,-1,0.680318,0.1289414,0.19074059,False,True,False,False,330800,893,0.0026995163240628,549,0.0016596130592503,2592,0.0078355501813784,1586985,0.4734,70,4,presidente lbranos mal
5,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,"En Madrid sólo habrá 2 tarifas de transporte público: la A, para Madrid capital, y la B, para el resto de la región. Con esta medida, millones de ciudadanos se ahorrarán hasta 180 euros al año.
Seguimos ampliando el Metro, para llegar a los 340 kilómetros. Ya es accesible el 84%.","en madrid slo habr 2 tarifas de transporte pblico la a para madrid capital y la b para el resto de la regin con esta medida millones de ciudadanos se ahorrarn hasta 180 euros al ao
seguimos ampliando el metro para llegar a los 340 kilmetros ya es accesible el 84",Negative,-1,0.6281125,0.14738066,0.22450683,False,True,False,False,213100,308,0.0014453308305959,759,0.0035617081182543,3016,0.0141529798216799,1586985,0.4734,70,51,madrid slo habr 2 tarifas transporte pblico madrid capital b resto regin medida millones ciudadanos ahorrarn 180 euros ao seguimos ampliando metro llegar 340 kilmetros accesible 84
6,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,"Con el candidato a alcalde de #Getafe, 
@AJMesaGarrido
, gran hombre y político para el que pido la confianza de sus vecinos.

Gracias a tantos por acompañarnos.","con el candidato a alcalde de getafe 

 gran hombre y poltico para el que pido la confianza de sus vecinos

gracias a tantos por acompaarnos",Positive,1,0.01943707,0.020881647,0.95968133,False,True,False,False,51000,77,0.0015098039215686,195,0.0038235294117647,835,0.0163725490196078,1586985,0.4734,70,27,candidato alcalde getafe gran hombre poltico pido confianza vecinos gracias tantos acompaarnos
7,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-14,"Por la vida y las familias:

Reducciones en el transporte, comedor, libros, nuevos vehículos, extraescolares, salud bucodental y gafas.

Sucesiones y donaciones entre hermanos, tíos y sobrinos al 50%.

Cole en las vacaciones y puentes.

Ayuda extra a la madre estudiante y autónoma.","por la vida y las familias

reducciones en el transporte comedor libros nuevos vehculos extraescolares salud bucodental y gafas

sucesiones y donaciones entre hermanos tos y sobrinos al 50

cole en las vacaciones y puentes

ayuda extra a la madre estudiante y autnoma",Positive,1,0.03488004,0.050857607,0.9142624,False,True,False,False,408600,803,0.0019652471855115,655,0.0016030347528144,2839,0.0069481155163974,1586985,0.4734,70,43,vida familias reducciones transporte comedor libros nuevos vehculos extraescolares salud bucodental gafas sucesiones donaciones hermanos tos sobrinos 50 cole vacaciones puentes ayuda extra madre estudiante autnoma
8,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-14,"Con nuestra candidata a la alcaldía de Pozuelo de Alarcón, 
@PalomaTejero_
, una mujer con enorme capacidad de trabajo, dispuesta a dar todo por su municipio.","con nuestra candidata a la alcalda de pozuelo de alarcn 

 una mujer con enorme capacidad de trabajo dispuesta a dar todo por su municipio",Positive,1,0.056712598,0.04942992,0.89385754,False,True,False,False,53800,149,0.0027695167286245,167,0.0031040892193308,1016,0.0188847583643122,1586985,0.4734,70,26,candidata alcalda pozuelo alarcn mujer enorme capacidad trabajo dispuesta dar municipio
9,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-15,"Feliz Día de San Isidro Labrador, patrón de los agricultores y de decenas de municipios de Madrid. 

Este año lo celebramos con la propuesta de dar el nombre de su esposa al premio “Mujer rural Santa María de la Cabeza” en homenaje a las mujeres del campo.","feliz da de san isidro labrador patrn de los agricultores y de decenas de municipios de madrid 

este ao lo celebramos con la propuesta de dar el nombre de su esposa al premio mujer rural santa mara de la cabeza en homenaje a las mujeres del campo",Positive,1,0.0092817545,0.032181997,0.95853627,False,True,False,False,100000,186,0.00186,428,0.00428,2184,0.02184,1586985,0.4734,70,47,feliz da san isidro labrador patrn agricultores decenas municipios madrid ao celebramos propuesta dar nombre esposa premio mujer rural santa mara cabeza homenaje mujeres campo
10,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-16,"No van a renunciar porque van igualmente en la lista. Y claro que tomarán posesión. ¿Qué palabra tiene un asesino?

La misma que los otros 37 cooperadores necesarios de los asesinatos, secuestros y extorsiones. Son igualmente culpables y así los condena la ley.https://elmundo.es/pais-vasco/2023/05/16/64632c5ce4d4d85f4f8b45a0.html","no van a renunciar porque van igualmente en la lista y claro que tomarn posesin qu palabra tiene un asesino

la misma que los otros 37 cooperadores necesarios de los asesinatos secuestros y extorsiones son igualmente culpables y as los condena la ley",Negative,-1,0.9456268,0.037264325,0.017108824,False,False,False,False,834200,1950,0.0023375689283145,2568,0.0030783984655957,8452,0.0101318628626228,1586985,0.4734,70,43,van renunciar van igualmente lista claro tomarn posesin qu palabra asesino misma 37 cooperadores necesarios asesinatos secuestros extorsiones igualmente culpables as condena ley
11,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-16,"
A partir de las 21:45h, no te pierdas a la presidenta 
@IdiazAyuso
 en el debate de 
@telemadrid
. 

#DebateTM #YoConAyuso 

📲 Síguelo en directo: http://bit.ly/39NgN3r","
a partir de las 2145h no te pierdas a la presidenta 

 en el debate de 

 

debatetm yoconayuso 

 sguelo en directo ",Neutral,0,0.031617526,0.8601304,0.108252026,False,True,False,True,737000,394,0.0005345997286295,309,0.0004192672998643,922,0.0012510176390773,1586985,0.4734,70,25,partir 2145h pierdas presidenta debate debatetm yoconayuso sguelo directo
12,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-17,"El campeón del mundo de judo es mostoleño. 
@FranGarrigos1
, junto a la escuela Dojo Quino, de Brunete, ha traído 🥇 para todos los españoles. 

Enhorabuena por tu éxito y gracias por tu ejemplo para tantos niños, jóvenes y futuros deportistas.","el campen del mundo de judo es mostoleo 

 junto a la escuela dojo quino de brunete ha trado  para todos los espaoles 

enhorabuena por tu xito y gracias por tu ejemplo para tantos nios jvenes y futuros deportistas",Positive,1,0.023202932,0.018000089,0.958797,False,True,False,False,53000,89,0.0016792452830188,222,0.004188679245283,1164,0.0219622641509433,1586985,0.4734,70,41,campen mundo judo mostoleo junto escuela dojo quino brunete trado espaoles enhorabuena xito gracias ejemplo tantos nios jvenes futuros deportistas
13,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-17,"Consejo de Gobierno:

-125 millones programa de préstamo gratuito de libros de texto.

-2.275 plazas en el nuevo colegio público de El Cañaveral y ampliaciones en Parla, Madrid y Leganés.

-75 millones más para plazas para mayores de 18 años con síndrome espectro autista.","consejo de gobierno

125 millones programa de prstamo gratuito de libros de texto

2275 plazas en el nuevo colegio pblico de el caaveral y ampliaciones en parla madrid y legans

75 millones ms para plazas para mayores de 18 aos con sndrome espectro autista",Positive,1,0.2234902,0.28510097,0.49140882,False,False,False,False,138000,417,0.0030217391304347,329,0.0023840579710144,1107,0.0080217391304347,1586985,0.4734,70,44,consejo gobierno 125 millones programa prstamo gratuito libros texto 2275 plazas nuevo colegio pblico caaveral ampliaciones parla madrid legans 75 millones ms plazas mayores 18 aos sndrome espectro autista
14,PP,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-17,"La Sanidad de Madrid, a la cabeza de Europa en pruebas diagnósticas.",la sanidad de madrid a la cabeza de europa en pruebas diagnsticas,Negative,-1,0.47309604,0.22856201,0.29834193,False,True,True,False,237800,807,0.0033936080740117,958,0.0040285954583683,3748,0.0157611438183347,1586985,0.4734,70,12,sanidad madrid cabeza europa pruebas diagnsticas
